id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
232,6,1984,4,2,R,N,N,N,2,1,1
233,12,1980,2,2,2,5,1,2,1,1,2
234,8,1983,4,6,1,2,1,3,1,1,1
235,8,1981,6,5,3,6,6,4,5,6,4
236,12,1984,6,2,2,2,2,2,2,N,3
237,3,1983,6,4,3,4,4,3,3,N,4
238,8,1981,1,1,1,1,1,1,1,1,1
239,9,1980,N,1,N,6,4,2,4,6,4
240,4,1983,1,2,2,2,1,2,1,1,2
241,2,1983,2,1,1,1,1,1,1,1,1
242,6,1984,1,2,1,1,1,1,1,1,1
243,2,1983,2,2,4,2,2,1,2,2,3
244,3,1983,6,4,2,2,2,2,2,2,2
245,7,1984,6,2,6,6,2,6,6,7,6
246,10,1980,1,1,1,1,1,N,N,1,1
247,3,1982,1,5,2,1,1,1,2,2,1
248,9,1983,2,1,1,1,3,2,2,3,2
249,8,1981,N,N,N,N,N,N,N,N,N
250,9,1981,N,5,2,2,2,N,N,N,N
251,4,1982,4,1,2,1,1,1,1,1,1
252,7,1984,2,1,1,1,1,1,1,1,1
253,9,1984,4,3,5,N,N,N,N,N,N
254,8,1981,1,1,1,1,1,1,1,1,1
255,7,1983,1,N,N,N,N,N,N,N,N
256,8,1980,1,2,1,1,1,1,1,1,1
257,5,1984,1,1,1,1,1,1,1,1,1
258,11,1982,3,6,2,2,4,3,3,2,5
259,12,1981,2,3,4,4,5,4,N,N,N
260,12,1980,6,2,2,2,3,2,2,2,2
261,4,1983,3,2,2,2,2,2,1,2,1
262,9,1980,3,2,1,2,2,D,D,2,D
263,7,1983,3,2,1,1,1,D,1,N,2
264,7,1982,1,1,1,1,1,1,1,1,1
265,9,1983,2,4,4,5,4,4,2,2,3
266,12,1980,1,1,1,1,1,1,2,1,1
267,12,1980,1,1,1,1,1,1,1,1,1
268,12,1981,2,1,2,1,2,5,1,1,1
269,6,1981,1,2,2,4,N,N,N,N,N
270,1,1984,2,2,2,2,D,3,2,2,2
271,8,1982,1,4,1,1,1,4,1,1,1
272,9,1982,2,2,4,7,7,6,5,3,7
273,4,1983,1,6,4,5,8,4,4,N,N
