id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
421,8,1982,3,4,3,2,2,2,5,4,1
422,1,1981,1,1,1,1,1,1,1,2,1
423,1,1984,5,2,3,3,2,2,2,1,1
424,6,1984,2,2,2,2,2,2,2,1,1
425,8,1982,1,1,1,1,1,1,1,1,1
429,1,1981,1,1,1,1,1,2,2,1,1
430,3,1983,1,1,1,2,1,2,1,1,1
437,7,1981,7,7,7,8,7,7,7,7,7
438,3,1983,7,6,3,3,1,1,1,1,1
439,5,1984,7,8,8,7,7,7,7,7,6
440,8,1980,7,6,1,6,4,3,7,1,1
446,2,1983,2,3,2,1,5,1,1,1,4
450,11,1980,3,2,1,1,1,5,6,2,2
451,9,1983,6,3,1,1,4,4,6,4,5
454,8,1982,5,2,2,2,2,2,2,2,2
455,8,1984,1,7,6,6,6,7,6,6,6
456,11,1983,6,6,6,4,7,6,5,4,3
458,6,1982,3,4,2,3,2,3,2,2,2
459,6,1983,6,6,3,6,6,4,3,3,3
460,12,1981,1,3,2,4,3,5,4,2,1
461,3,1983,3,2,2,1,2,4,2,5,1
462,2,1981,3,3,2,3,1,2,3,2,1
463,7,1982,4,1,2,4,2,6,2,4,6
465,10,1984,1,1,1,6,6,6,6,1,1
467,9,1984,1,1,1,2,1,2,5,3,2
469,1,1982,2,6,6,4,5,5,4,2,4
470,2,1981,4,5,3,4,1,4,1,1,2
471,7,1980,1,1,1,1,1,1,1,1,1
472,1,1983,2,2,3,1,1,1,1,1,5
474,7,1984,2,6,3,6,2,5,2,2,5
475,3,1981,7,7,7,7,7,7,7,7,7
476,7,1982,3,2,2,2,2,1,1,3,5
477,5,1982,3,3,3,5,5,5,5,4,2
478,1,1983,3,3,3,3,3,5,3,3,3
479,8,1982,3,3,3,3,1,2,2,6,6
480,7,1980,2,2,2,2,2,1,1,1,1
481,5,1984,2,1,1,3,2,1,1,1,1
483,2,1980,3,2,2,1,1,2,2,2,2
484,8,1982,5,5,4,2,2,4,5,2,1
485,7,1982,6,6,4,7,5,2,2,2,2
488,1,1982,5,1,1,1,1,1,1,1,1
490,11,1982,3,2,2,2,2,2,2,2,2
492,10,1983,6,7,6,7,6,6,6,6,7
496,7,1984,6,6,4,7,7,6,6,6,6
498,5,1980,5,5,2,4,2,1,2,2,1
503,12,1981,2,5,2,1,1,1,1,2,1
507,8,1984,6,6,6,6,6,6,6,6,6
508,8,1981,2,3,5,3,5,5,3,4,3
509,8,1984,3,2,1,5,1,1,1,2,2
510,5,1980,6,4,2,6,2,6,2,3,2
511,1,1980,1,4,2,4,3,2,6,6,6
513,5,1982,2,2,6,6,1,5,2,1,2
515,3,1983,3,2,2,1,1,2,3,3,2
517,9,1981,1,1,1,2,2,2,1,4,5
518,11,1983,1,2,6,5,2,2,2,2,1
519,6,1980,2,2,1,1,1,1,2,5,6
521,7,1983,2,2,4,3,2,1,2,2,2
523,5,1980,2,4,2,3,1,1,1,4,1
524,8,1981,2,3,1,1,4,2,2,2,1
525,4,1982,1,2,2,1,1,2,2,2,2
527,12,1981,1,1,1,1,1,1,1,1,1
528,9,1982,3,3,3,2,2,2,2,1,1
529,4,1982,2,2,2,1,1,1,1,1,2
530,9,1982,6,7,7,8,7,3,2,2,2
533,1,1983,6,4,3,2,2,2,2,2,2
536,12,1982,3,6,5,6,4,6,4,4,1
537,2,1982,1,1,1,1,1,1,1,1,1
538,8,1983,6,3,3,2,1,6,5,3,2
542,2,1984,5,5,3,2,4,3,3,3,3
543,10,1983,2,3,2,2,3,3,2,3,3
544,2,1981,2,3,2,2,1,2,2,1,1
545,8,1981,3,1,2,1,2,2,1,1,1
546,6,1980,6,6,3,5,5,4,4,2,6
547,1,1984,6,6,5,4,5,5,5,4,5
548,11,1984,7,7,7,7,7,7,7,7,7
549,12,1981,1,2,2,1,2,2,1,2,1
550,2,1984,3,3,2,1,2,2,1,1,1
551,12,1981,7,7,7,7,6,7,6,7,7
555,3,1984,5,4,3,3,2,2,3,2,2
556,7,1982,5,6,6,6,7,6,7,6,6
557,11,1981,4,3,3,4,6,3,6,6,7
558,2,1982,1,1,1,1,1,1,1,1,1
559,3,1984,1,1,1,1,1,1,1,1,1
560,4,1981,5,7,2,3,2,7,7,5,3
561,3,1984,1,2,2,2,2,2,7,4,2
563,3,1982,1,1,2,1,1,1,1,1,1
564,8,1983,7,3,3,1,1,1,1,5,2
566,7,1982,6,5,4,5,4,4,3,3,2
571,10,1980,1,1,1,2,1,1,1,1,1
574,1,1983,6,2,1,1,6,2,1,2,4
576,11,1981,6,3,3,7,1,1,1,6,4
577,4,1984,7,7,7,7,7,7,7,7,7
579,6,1980,1,1,1,1,1,1,2,3,1
580,5,1983,1,2,1,2,1,1,2,2,1
581,4,1982,6,6,4,3,3,3,2,5,6
582,11,1983,6,3,6,5,5,2,2,2,7
584,12,1981,7,6,7,7,7,6,7,6,6
585,3,1983,7,6,6,7,6,6,7,6,7
590,9,1983,1,3,2,1,2,2,1,1,2
591,12,1982,6,6,7,7,7,7,7,6,7
592,10,1984,6,7,5,4,5,5,3,4,3
595,9,1981,4,3,2,1,6,6,5,1,1
598,4,1981,7,7,7,7,7,7,7,7,7
599,9,1981,7,3,7,7,7,7,7,7,7
600,9,1984,2,6,2,2,1,1,1,1,1
602,1,1982,2,1,1,1,2,1,1,1,1
604,3,1981,1,3,3,3,3,3,3,5,5
606,5,1980,2,2,2,1,1,1,1,1,1
607,5,1982,1,1,1,1,1,1,1,1,1
608,3,1983,1,1,1,1,1,1,1,1,1
610,10,1981,1,5,5,4,3,3,6,6,4
612,2,1984,7,6,6,5,6,6,6,6,3
613,11,1983,2,1,1,1,1,1,1,1,1
617,11,1983,3,2,2,2,1,1,2,1,2
618,12,1981,6,6,6,4,6,2,6,3,2
619,5,1983,4,6,6,4,6,6,6,6,6
627,12,1982,3,3,3,2,2,2,2,2,2
629,10,1984,2,1,2,1,1,2,1,1,1
630,4,1981,6,6,6,6,6,6,6,6,6
635,6,1981,5,3,3,1,2,2,2,2,2
638,1,1984,6,5,4,3,3,3,3,3,3
639,1,1981,1,1,2,1,2,2,1,1,1
640,7,1982,6,3,3,3,2,2,1,2,3
642,6,1980,2,1,1,1,2,1,1,1,1
647,7,1984,2,6,6,6,6,6,6,6,6
648,1,1981,5,6,3,3,2,3,2,1,2
649,6,1982,6,5,4,4,3,3,3,4,5
650,5,1984,6,6,6,3,6,2,1,3,2
652,12,1983,6,6,6,6,6,6,6,6,3
653,12,1983,6,6,6,5,5,7,6,7,7
654,2,1980,3,5,3,2,3,2,2,2,2
656,11,1982,1,1,1,1,1,1,1,1,1
658,10,1984,6,6,6,6,6,6,6,5,4
659,8,1980,1,1,1,1,1,1,1,1,1
660,7,1982,1,1,1,1,1,1,1,1,1
662,8,1980,8,8,8,7,6,6,5,4,7
663,11,1982,3,3,3,3,2,2,2,2,2
664,6,1983,1,1,1,2,1,1,1,1,1
666,6,1981,5,4,4,2,3,2,3,3,3
667,11,1982,2,2,2,2,2,2,2,2,2
668,3,1984,3,2,3,2,2,2,2,2,2
669,2,1983,3,1,1,1,1,1,5,6,2
671,12,1982,1,1,1,1,1,1,1,1,1
672,1,1980,6,6,6,6,7,6,6,6,6
673,11,1982,8,7,6,7,7,7,7,7,7
676,9,1984,6,6,2,2,2,2,3,2,5
677,1,1983,2,7,3,1,3,4,2,3,2
678,8,1984,6,1,1,2,1,1,1,1,1
679,6,1982,2,2,3,3,4,6,2,6,6
680,3,1980,2,3,2,3,3,3,6,3,3
681,3,1984,1,1,1,2,1,1,6,7,5
684,9,1984,6,6,6,6,5,5,4,5,6
685,1,1983,1,1,1,1,1,1,1,1,1
686,11,1982,1,1,3,3,1,1,1,1,1
687,1,1983,6,2,2,3,2,1,3,4,6
688,11,1982,2,2,2,2,2,2,2,2,2
689,8,1983,5,6,6,6,3,6,3,4,2
690,7,1980,5,3,4,2,2,4,3,3,3
691,6,1982,5,7,1,3,1,3,1,1,3
692,9,1983,3,2,5,2,2,1,4,4,1
694,10,1980,6,6,6,6,4,2,2,1,2
700,9,1980,6,1,1,1,1,1,1,1,1
701,7,1982,1,1,1,1,1,1,1,1,1
702,3,1982,1,3,2,5,2,2,2,2,2
704,12,1981,7,6,6,6,7,6,7,2,6
705,8,1980,1,1,1,1,1,6,4,4,3
V,5,1982,1,3,3,3,2,3,1,1,1
710,1,1982,6,6,6,6,6,3,4,2,3
713,7,1983,5,3,5,7,5,5,6,6,3
717,11,1980,4,6,6,6,6,6,2,4,2
718,10,1982,6,7,3,6,4,2,6,6,3
719,11,1981,6,6,4,5,3,3,5,5,4
720,2,1980,1,5,4,2,2,2,2,2,2
723,5,1983,6,6,3,6,3,4,3,2,2
725,9,1980,3,2,2,2,1,1,2,1,2
726,8,1982,4,3,2,2,3,3,2,2,2
727,2,1984,6,4,5,3,2,5,2,3,2
729,3,1980,2,6,6,5,3,1,1,3,2
731,7,1981,2,1,2,2,5,5,5,5,5
738,1,1981,7,7,7,7,7,7,7,7,7
739,4,1982,6,6,6,7,6,7,7,6,6
740,12,1984,6,6,6,5,6,3,3,3,3
741,4,1982,1,2,1,1,1,1,1,1,1
742,1,1982,7,6,7,7,7,7,7,7,7
745,10,1980,1,1,1,1,1,1,1,1,1
746,1,1982,6,3,2,2,3,2,2,2,2
747,1,1981,1,2,1,1,1,1,1,1,1
748,8,1983,3,3,3,3,5,6,6,7,5
749,4,1983,6,4,4,2,4,3,5,5,2
750,10,1982,8,8,8,7,6,6,4,5,7
751,11,1984,7,7,7,7,6,7,6,6,2
752,3,1983,3,7,6,7,4,3,1,3,2
753,12,1982,2,1,2,2,2,1,3,1,3
759,5,1983,4,3,1,1,2,3,2,2,2
763,1,1980,1,1,1,1,2,2,2,2,1
764,11,1981,2,1,3,2,1,1,1,1,1
765,9,1983,4,2,2,2,6,4,4,6,2
767,5,1981,5,5,5,5,5,6,6,6,5
769,6,1980,1,6,1,1,1,1,1,1,1
772,6,1984,7,6,6,6,6,6,6,5,5
774,12,1981,2,2,1,1,2,1,1,2,1
778,6,1983,6,5,5,5,2,3,2,2,2
781,12,1980,1,1,1,2,1,2,1,1,1
782,7,1982,1,1,2,2,2,1,1,1,2
783,5,1984,7,6,3,2,3,4,2,3,2
785,12,1984,1,1,1,1,1,1,1,2,2
788,2,1982,6,5,2,2,2,2,1,2,1
790,2,1983,2,2,1,2,1,1,1,3,6
791,5,1982,6,6,6,6,6,6,6,6,6
792,8,1981,1,1,2,1,1,1,1,1,1
794,10,1982,1,1,1,1,1,1,1,1,1
796,5,1983,6,6,6,6,6,6,1,2,2
797,6,1981,1,2,2,2,2,1,2,2,2
799,4,1981,6,4,3,4,4,6,6,5,6
800,5,1982,5,5,6,4,5,2,2,1,5
801,3,1984,6,6,6,4,3,3,3,3,3
805,10,1980,2,2,2,1,2,2,3,2,4
806,10,1983,6,5,3,2,2,2,2,2,2
807,10,1982,2,2,2,2,1,1,2,2,3
808,9,1983,2,1,2,1,1,1,1,1,2
814,9,1984,7,6,2,5,4,2,2,2,2
816,10,1982,5,3,5,3,6,5,5,6,5
817,11,1983,1,2,3,5,4,3,5,1,2
818,5,1981,7,7,7,7,7,7,7,7,7
819,1,1980,4,5,6,5,5,5,5,4,5
823,12,1984,5,6,3,2,2,2,2,2,2
824,5,1980,2,3,6,4,7,4,1,2,1
825,7,1982,6,3,2,4,6,5,3,3,3
828,3,1983,6,4,4,3,2,4,3,3,3
830,2,1982,3,1,2,2,1,1,2,1,1
831,11,1984,7,7,7,7,7,7,7,7,6
832,8,1983,1,1,1,1,1,1,1,1,2
