"id","byear","time","attendence"
135,1981,6,1
135,1981,7,1
135,1981,8,1
137,1980,0,6
137,1980,1,2
137,1980,2,3
137,1980,3,3
137,1980,4,4
137,1980,5,1
137,1980,6,3
137,1980,7,3
137,1980,8,3
138,1984,0,6
138,1984,1,4
138,1984,2,6
138,1984,3,2
138,1984,4,1
138,1984,5,1
138,1984,6,1
138,1984,7,1
138,1984,8,2
144,1982,0,6
144,1982,1,6
144,1982,2,6
144,1982,3,6
144,1982,4,5
144,1982,5,2
144,1982,6,4
144,1982,7,4
144,1982,8,2
145,1984,0,6
145,1984,1,6
145,1984,2,6
145,1984,3,5
145,1984,4,4
145,1984,5,3
145,1984,6,2
145,1984,7,3
145,1984,8,4
146,1984,0,7
146,1984,1,6
146,1984,2,3
146,1984,3,4
146,1984,4,4
146,1984,5,2
146,1984,6,2
146,1984,7,2
146,1984,8,3
147,1984,0,2
147,1984,1,2
147,1984,2,2
147,1984,3,3
147,1984,4,5
147,1984,5,1
147,1984,6,1
147,1984,7,1
147,1984,8,1
148,1982,0,1
148,1982,1,1
148,1982,2,1
148,1982,3,2
148,1982,4,2
148,1982,5,2
148,1982,6,1
148,1982,7,1
148,1982,8,1
149,1983,0,5
149,1983,1,6
149,1983,2,6
149,1983,3,5
149,1983,4,5
149,1983,5,4
149,1983,6,4
149,1983,7,5
149,1983,8,5
150,1984,0,6
150,1984,1,5
150,1984,2,3
150,1984,3,1
150,1984,4,3
150,1984,5,2
150,1984,6,3
150,1984,7,3
150,1984,8,4
155,1980,0,5
155,1980,1,5
155,1980,2,4
155,1980,3,2
155,1980,4,1
155,1980,5,1
155,1980,6,1
155,1980,7,1
155,1980,8,1
156,1982,0,3
156,1982,1,3
156,1982,2,3
156,1982,3,4
156,1982,4,2
156,1982,5,1
156,1982,6,2
156,1982,7,1
156,1982,8,2
157,1982,0,1
157,1982,1,1
157,1982,2,1
157,1982,3,1
157,1982,4,1
157,1982,5,1
157,1982,6,1
157,1982,7,1
157,1982,8,1
158,1984,0,5
158,1984,1,5
158,1984,2,2
158,1984,3,2
158,1984,4,2
158,1984,5,1
158,1984,6,2
158,1984,7,1
158,1984,8,1
159,1980,0,4
159,1980,1,1
159,1980,2,1
159,1980,3,2
159,1980,4,2
159,1980,5,1
159,1980,6,1
159,1980,7,2
159,1980,8,3
164,1981,0,1
164,1981,1,2
164,1981,2,2
164,1981,3,2
164,1981,4,2
164,1981,5,2
164,1981,6,2
164,1981,7,2
164,1981,8,1
165,1980,0,2
165,1980,1,5
165,1980,2,3
165,1980,3,3
165,1980,4,1
165,1980,5,3
165,1980,6,3
165,1980,7,3
165,1980,8,5
166,1982,0,3
166,1982,1,3
166,1982,2,3
166,1982,3,2
166,1982,4,3
166,1982,5,2
166,1982,6,3
166,1982,7,2
166,1982,8,2
167,1984,0,7
167,1984,1,2
167,1984,2,6
167,1984,3,6
167,1984,4,6
167,1984,5,3
167,1984,6,5
167,1984,7,1
167,1984,8,1
169,1983,0,6
169,1983,1,3
169,1983,2,2
169,1983,3,1
169,1983,4,2
169,1983,5,2
169,1983,6,2
169,1983,7,1
169,1983,8,2
170,1984,0,4
170,1984,1,3
170,1984,2,3
170,1984,3,3
170,1984,4,2
170,1984,5,1
170,1984,6,1
170,1984,7,2
170,1984,8,1
171,1984,0,3
171,1984,1,1
171,1984,2,5
171,1984,3,6
171,1984,4,6
171,1984,5,7
171,1984,6,7
171,1984,7,7
171,1984,8,7
176,1982,0,6
